"","Year","Name","Lg","Team","Vote_PTS","First_Place","BS_G","AB","R","BS_H","BS_HR","BS_BB","OPS","WHIP","PS_G","GS","PS_H","PS_HR","PS_BB","WAR","BA","OBP","SLG","HR","RBI","SB","W","L","SV","ERA","IP","SO","Pitcher"
"97",1967,"Carl Yastrzemski","AL","BOS",275,19,161,579,112,189,44,91,1.04,NA,NA,NA,NA,NA,NA,12.5,0.326,0.418,0.622,44,121,10,NA,NA,NA,NA,NA,NA,FALSE
"98",1967,"Orlando Cepeda","NL","STL",280,20,151,563,91,183,25,62,0.923,NA,NA,NA,NA,NA,NA,6.8,0.325,0.399,0.524,25,111,11,NA,NA,NA,NA,NA,NA,FALSE
"99",1968,"Denny McLain","AL","DET",280,20,44,111,7,18,0,1,0.359,0.905,41,41,241,31,63,7.4,0.162,0.17,0.189,0,4,0,31,6,0,1.96,336,280,TRUE
"100",1968,"Bob Gibson","NL","STL",242,14,35,94,3,16,0,7,0.456,0.853,34,34,198,11,62,11.9,0.17,0.233,0.223,0,6,1,22,9,0,1.12,304.2,268,TRUE
"101",1969,"Harmon Killebrew","AL","MIN",294,16,162,555,106,153,49,145,1.011,NA,NA,NA,NA,NA,NA,6.1,0.276,0.427,0.584,49,140,8,NA,NA,NA,NA,NA,NA,FALSE
"102",1969,"Willie McCovey","NL","SFG",265,11,149,491,101,157,45,121,1.108,NA,NA,NA,NA,NA,NA,8.1,0.32,0.453,0.656,45,126,0,NA,NA,NA,NA,NA,NA,FALSE
"103",1970,"Boog Powell","AL","BAL",234,11,154,526,82,156,35,104,0.962,NA,NA,NA,NA,NA,NA,5.1,0.297,0.412,0.549,35,114,1,NA,NA,NA,NA,NA,NA,FALSE
"104",1970,"Johnny Bench","NL","CIN",326,22,158,605,97,177,45,54,0.932,NA,NA,NA,NA,NA,NA,7.4,0.293,0.345,0.587,45,148,5,NA,NA,NA,NA,NA,NA,FALSE
"105",1971,"Vida Blue","AL","OAK",268,14,39,102,6,12,0,4,0.294,0.952,39,39,209,19,88,8.5,0.118,0.167,0.127,0,2,0,24,8,0,1.82,312,301,TRUE
"106",1971,"Joe Torre","NL","STL",318,21,161,634,97,230,24,63,0.976,NA,NA,NA,NA,NA,NA,5.9,0.363,0.421,0.555,24,137,4,NA,NA,NA,NA,NA,NA,FALSE
"107",1972,"Dick Allen","AL","CHW",321,21,148,506,90,156,37,99,1.023,NA,NA,NA,NA,NA,NA,8.6,0.308,0.42,0.603,37,113,19,NA,NA,NA,NA,NA,NA,FALSE
"108",1972,"Johnny Bench","NL","CIN",263,11,147,538,87,145,40,100,0.92,NA,NA,NA,NA,NA,NA,8.6,0.27,0.379,0.541,40,125,6,NA,NA,NA,NA,NA,NA,FALSE
"109",1973,"Reggie Jackson","AL","OAK",336,24,151,539,99,158,32,76,0.914,NA,NA,NA,NA,NA,NA,7.8,0.293,0.383,0.531,32,117,22,NA,NA,NA,NA,NA,NA,FALSE
"110",1973,"Pete Rose","NL","CIN",274,12,160,680,115,230,5,65,0.838,NA,NA,NA,NA,NA,NA,8.3,0.338,0.401,0.437,5,64,10,NA,NA,NA,NA,NA,NA,FALSE
"111",1974,"Jeff Burroughs","AL","TEX",248,10,152,554,84,167,25,91,0.901,NA,NA,NA,NA,NA,NA,3.6,0.301,0.397,0.504,25,118,2,NA,NA,NA,NA,NA,NA,FALSE
"112",1974,"Steve Garvey","NL","LAD",270,13,156,642,95,200,21,31,0.811,NA,NA,NA,NA,NA,NA,4.4,0.312,0.342,0.469,21,111,5,NA,NA,NA,NA,NA,NA,FALSE
"113",1975,"Fred Lynn","AL","BOS",326,22,145,528,103,175,21,62,0.967,NA,NA,NA,NA,NA,NA,7.4,0.331,0.401,0.566,21,105,10,NA,NA,NA,NA,NA,NA,FALSE
